,ciclos,clave,nombre,creditos,tipo,plan,preespecialidad
0,1,II0106,Cálculo diferencial,8,Basica,IAP2019,
1,1,II0209,Cálculo integral,6,Basica,IAP2019,
2,1,DP0194,Desarrollo de habilidades del pensamiento,6,Basica,IAP2019,
3,1,IA0106,Ecología,6,Basica,IAP2019,
4,1,II0102,Física experimental,8,Basica,IAP2019,
5,1,II0104,Medio ambiente y desarrollo sustentable,6,Basica,IAP2019,
6,1,DP0001,"Propedéutico de habilidades básicas de lectura, estudio e investigación",6,Basica,IAP2019,
7,1,II0002,Propedéutico de matematicas para ingenierias,8,Basica,IAP2019,
8,1,IA0105,Química Inorgánica,8,Basica,IAP2019,
9,1,IA0104,Taller de Instrumentación,6,Basica,IAP2019,
10,1,DP0191,Taller de interacción grupal y competencias comunicativas,6,Basica,IAP2019,
11,1,DP0193,Taller de redacción profesional,6,Basica,IAP2019,
12,1,IA0160,Economía ambiental,6,Elección libre,IAP2019,
13,1,II0421,Organización y administración de empresas,6,Elección libre,IAP2019,
14,1,IT0192,Taller de computación,6,Elección libre,IAP2019,
15,1,IL0102,Teoría general de sistemas,6,Elección libre,IAP2019,
16,2,II0322,Álgebra lineal,6,Basica,IAP2019,
17,2,IA0208,Biología Celular,6,Basica,IAP2019,
18,2,II0218,Cálculo vectorial,8,Basica,IAP2019,
19,2,IA0209,Ecuaciones diferenciales,8,Basica,IAP2019,
20,2,II0215,Electricidad y magnetismo,8,Basica,IAP2019,
21,2,DP0396,Identidad y cultura,6,Basica,IAP2019,
22,2,IA0103,Microbiología,8,Basica,IAP2019,
23,2,PIA0202,Prácticas Profesionales I,12,Basica,IAP2019,
24,2,II0319,Probabilidad y estadística,6,Basica,IAP2019,
25,2,IA0204,Química analítica,6,Basica,IAP2019,
26,2,IA0207,Química orgánica,8,Basica,IAP2019,
27,2,DP0295,Taller de formación en responsabilidad social y ambiental,6,Basica,IAP2019,
28,2,II0216,Termodinámica,8,Basica,IAP2019,
29,2,IA0261,Introducción a la ciencia del suelo,6,Elección libre,IAP2019,
30,2,II0264,Seguridad e higiene industrial,6,Elección libre,IAP2019,
31,2,II0422,Taller de emprendedores,6,Elección libre,IAP2019,
32,2,II3472,Taller de software para ingeniería,6,Elección libre,IAP2019,
33,3,IA0412,Calidad del agua,8,Basica,IAP2019,
34,3,IL0204,Estadística analítica,8,Basica,IAP2019,
35,3,IA0307,Gestión ambiental,6,Basica,IAP2019,
36,3,IA0206,Legislación y normativa ambiental,6,Basica,IAP2019,
37,3,II0213,Mecánica de fluidos,6,Basica,IAP2019,
38,3,II0423,Métodos numéricos por computadora,8,Basica,IAP2019,
39,3,PIA0303,Prácticas Profesionales II,12,Basica,IAP2019,
40,3,DP0497,Problemas del mundo contemporáneo,6,Basica,IAP2019,
41,3,IA0310,Procesos fisicoquímicos,6,Basica,IAP2019,
42,3,IA0205,Química ambiental,8,Basica,IAP2019,
43,3,II0323,Transferencia de calor,6,Basica,IAP2019,
44,3,IA0414,Calidad del aire,8,Basica,IAP2019,
45,3,IA0410,Ingeniería de procesos ambientales,8,Basica,IAP2019,
46,3,IA0411,Planeación y evaluación de proyectos ambientales,6,Basica,IAP2019,
47,3,PIA0406,Prácticas profesionales preespecialidad: Energías renovables y eficiencia energética,12,Basica,IAP2019,
48,3,PIA0405,Prácticas profesionales preespecialidad: Regeneración ambiental,12,Basica,IAP2019,
49,3,DP0498,Problemas de México,6,Basica,IAP2019,
50,3,IT0427,Proyecto terminal,6,Basica,IAP2019,
51,3,DP0499,Seminario de investigación,6,Basica,IAP2019,
52,3,IA0308,Transferencia de masa,6,Basica,IAP2019,
